start	end	text
0	6120	welcome back to the deep dive today we're uh really digging into something pretty provocative
6120	14500	the ultrasonic consciousness hypothesis the core idea that consciousness isn't just about
14500	21420	neurons firing you know electrical signals it might be fundamentally linked to well
21420	27480	mechanical vibrations across the whole brain including ultrasound stuff you can't actually
27480	34220	hear right and the really radical part is how it proposes to solve the uh the binding problem
34220	42420	how separate feelings like warmth and smell merge into one experience yeah that's a huge puzzle in
42420	48900	neuroscience this hypothesis says maybe it's not computation doing the merging maybe information
48900	55880	unifies physically within that vibrational field it's a fascinating mix isn't it biophysics neuroscience
55880	61960	even philosophy of mind but okay first things first before we get lost in the philosophy
61960	70060	we need to know can ultrasound actually do anything to brain cells physically speaking
70060	76160	is that plausible that's the key question and the science seems to say well yes
76160	82620	it's physically possible we're not talking about heating things up it's a mechanical effect
82620	91500	these sound waves exert a tiny constant pressure as they pass through tissue it's called the
91500	99840	acoustic radiation force a arf arf okay think of like a microscopic finger gently pushing and
99840	106700	stretching the outer membrane of the neurons okay i can picture the stretching but how does stretching a
106700	113260	membrane make a neuron you know fire how does that become an electrical signal ah that's where these
113260	119060	special proteins come in they're called mechanosensitive ion channels they're embedded right there in the
119060	126460	membrane mechanosensitive so they react to mechanics to being stretched exactly they literally open or
126460	133760	close channels based on that physical deformation directly changes the flow of ions which is the basis of the
133760	141520	electrical signal we even see proof in simple organisms like take this c elegans worm it reacts to
141520	148640	ultrasound in a specific way okay but if you knock out its main mechanosensitive channel called mec4
149360	158080	that behavior completely vanishes wow okay so that's a direct link vibration causes channel opening causes
158080	165600	behavior precisely precisely yeah it confirms that causal chain and this mechanism this physical
165600	175440	interaction is why transcranial focused ultrasound tfus is such a potentially powerful tool right yes
175440	183840	because sound waves unlike electrical fields can get through the skull pretty well so tfus can aim ultrasound
183840	191760	deep inside hitting structures like the thalamus the thalamus that central relay station really crucial
191760	198880	for consciousness and it can target it with incredible precision like millimeter accuracy right and there have
198880	206880	been these studies maybe preliminary but still striking linking tfus modulation of the thalamus with patients
206880	213440	showing improved signs of awareness people with severe disorders of consciousness it's definitely
213440	219600	compelling compelling and suggest we can potentially influence deep brain states using purely mechanical
219600	226480	energy but there's always a but in science isn't there there usually is and here connects to some older
226480	234160	research something called the hypersonic effect ah yes the paradox the finding that even in audible
234160	241680	high frequencies like above 20 kilohertz can cause real physiological changes right things like boosting
241680	248800	relaxing relaxing alpha brain waves increasing blood flow in the thalamus again even though the person
248800	255040	swears they didn't hear a thing okay so the body reacts even if the conscious mind doesn't register
255040	260480	the sound but that leads us straight into the big problem the critical scientific challenge here yeah
261520	270000	the indirect auditory pathway confound the confound explain that well think about how tfus works you're
270000	277120	you're sending vibrations through the skull right bone conduction exactly those vibrations inevitably travel
277120	283360	through the bone and reach the inner ear of the cochlea they activate the normal hearing pathway just
284080	292320	not through the air ah so wait if the ultrasound is basically making a sound inside your head via bone
292320	299920	conduction then maybe the effects we see like an animal suddenly moving a limb when the ultrasound hits its
299920	306640	motor cortex maybe that's not direct brain stimulation at all that's the concern it could just be an
306640	314880	involuntary startle reflex like hearing a sudden loud noise even if you don't consciously perceive it as
314880	323600	noise precisely it's a startle response triggered via the conventional auditory system this is the major
323600	330480	hurdle for the hypothesis right now so the burden of proof is really high researchers have to show that
330480	339440	these tfus effects still happen even if you somehow block that auditory pathway like in a deafened animal model
339440	348000	correct without that proof the whole exciting idea of direct ultrasonic neuromodulation could just be
349440	356400	well a very sophisticated way of startling someone okay that definitely complicates the consciousness hypothesis
356400	363680	but it raises another fascinating question doesn't it if our brains are so sensitive to vibrations even
363680	369680	unconscious ones yeah what does that mean for the sounds we live with every day especially now in
369680	377920	our world of you know digitally compressed audio mp3s streaming that's a really interesting angle if
377920	383680	you look at psychoacoustics research there's this subtle effect sometimes called the digital flat
383680	391760	effect digital flat f yeah studies suggest that lossy compression the kind used in mp3s and many streaming
391760	400240	services systematically removes those very subtle often high frequency components the stuff that makes
400240	408560	sound rich maybe the stuff related to the hypersonic effect potentially yeah and removing it seems to have
408560	415840	an emotional consequence it can slightly weaken positive emotional descriptors in music or speech
416400	424560	things like happy or calm it makes things sound less happy a bit less yeah yeah and maybe simultaneously
424560	431760	strengthens negative ones like sad or mysterious it's subtle but measurable so we've got this picture
432800	439680	our bodies react to vibrational complexity maybe even stuff we don't hear and our digital tech is actively
439680	446800	stripping that complexity away where does that leave us well that brings us to the final maybe
447600	455600	provative thought for today if and it's still a big if if consciousness or at least aspects of our brain
455600	463120	state are fundamentally tied to these mechanical vibrations influenced by those mechanosensitive channels
463120	472160	then this massive global shift towards compressed digital audio which systematically filters out that
472160	481440	subtle vibrational information could it be acting like a low-level chronic environmental stressor wow like
481440	490320	a constant tiny drag on our well-being because the sound isn't complete possibly it suggests the actual
490320	497440	quality of our sonic environment its vibrational richness might impact our collective mood and mental state
497440	503840	much more deeply than we currently realize we might be missing something important in the sounds we create
503840	510160	and consume something to definitely think about next time you hit play that's all the time we have for this deep dive
